轻松,-3.639402578802535,-5.067225645384653
岛,-4.057831922697414,-3.570583227095897
龙头,-5.63574358148474,-5.695834304807027
美食,-3.8526421749998,-4.479438980482533
卫生,-3.461775866312788,-3.2319810642168587
选择,-2.0097947464736627,-2.2699443105545
干净,-2.380968202278185,-2.7579960096719387
店,-4.26246458847692,-4.086396392372927
海鲜,-2.573319933432077,-2.712680813459896
也,-10.389333772591105,-7.7752758464868625
多,-10.389333772591105,-7.7752758464868625
价格,-3.0413899494424177,-2.6938714815024
不贵,-5.447691349981801,-5.829365697431549
喜欢,-2.5757422196386717,-3.393249211812981
吃海鲜,-4.1412908980826755,-4.5564000216186615
有,-10.389333772591105,-7.7752758464868625
口福,-7.681283571488895,-7.7752758464868625
厦大,-3.2176769498225903,-3.5411693418896033
开放,-5.16897794751278,-4.73075340876344
时间,-1.6421405890641714,-1.1836021144782047
规定,-10.389333772591105,-7.7752758464868625
不过,-10.389333772591105,-7.7752758464868625
我们,-10.389333772591105,-7.7752758464868625
导游,-0.7332824639382312,-0.7054017180282905
林珊珊,-7.444894793424664,-7.7752758464868625
安排,-1.2487722952228386,-1.121123326303644
合理,-10.389333772591105,-7.7752758464868625
在,-10.389333772591105,-7.7752758464868625
前,-3.5736937825167736,-3.20056486798348
先,-4.709161163574038,-4.037606228203495
南普陀,-3.5736937825167736,-4.061703779782555
参观,-4.614782227046697,-4.73075340876344
讲解,-2.312197134052651,-2.8265159561086945
详细,-3.5913933596161742,-4.3740784648247075
听,-4.190855056098797,-4.037606228203495
津津有味,-7.904427122803105,-7.082128665926917
然后,-10.389333772591105,-7.7752758464868625
自由,-1.960753239531471,-1.8726425130854967
活动,-3.757331995195475,-3.3564352386902647
芙蓉,-4.633591559004193,-5.472690753492817
隧道,-4.824813365268412,-5.578051269150643
里面,-10.389333772591105,-7.7752758464868625
好玩,-3.651181277995148,-4.164357933842639
画,-6.582671282820785,-6.388981485366972
很长,-6.019885920124083,-5.377380573688492
没有,-10.389333772591105,-7.7752758464868625
完,-4.07036565884467,-3.418567019797271
还,-10.389333772591105,-7.7752758464868625
曾,-10.389333772591105,-7.7752758464868625
厝,-3.089536405832944,-3.570583227095897
安,-4.709161163574038,-5.067225645384653
好多,-3.6523668145892496,-3.570583227095897
厦门,-1.3513250233795289,-1.4209058056895123
衣服,-4.765316266403766,-4.6842333931285465
就,-10.389333772591105,-7.7752758464868625
一件,-6.085268679386935,-5.136218516871604
打底,-9.69618659203116,-7.7752758464868625
衫,-9.290721483922995,-7.7752758464868625
卫衣,-9.290721483922995,-7.7752758464868625
就够,-6.805814834134995,-7.7752758464868625
一条,-4.9556117690368655,-4.407980016500389
单裤,-9.69618659203116,-7.7752758464868625
早晚,-5.958516973747791,-6.388981485366972
还是,-10.389333772591105,-7.7752758464868625
有点,-10.389333772591105,-7.7752758464868625
凉,-5.934986476337597,-5.829365697431549
增加,-5.958516973747791,-5.067225645384653
等,-10.389333772591105,-7.7752758464868625
太阳,-4.494930938326254,-4.517179308465381
一,-10.389333772591105,-7.7752758464868625
出来,-10.389333772591105,-7.7752758464868625
热,-3.51100730429978,-3.7862917999225885
大,-10.389333772591105,-7.7752758464868625
防晒霜,-5.537303508671488,-5.829365697431549
是,-10.389333772591105,-7.7752758464868625
可以,-10.389333772591105,-7.7752758464868625
提前,-2.8376215572397943,-2.4186895718148502
做,-3.2819082984804004,-2.9310887600282713
一下,-10.389333772591105,-7.7752758464868625
攻略,-4.540008992644246,-4.443071336311659
这样,-10.389333772591105,-7.7752758464868625
利用,-6.862973247974944,-7.7752758464868625
晚上,-2.4035091061721876,-2.0069548506930905
逛逛,-4.289014820571041,-4.639781630557713
吃,-1.502233568467417,-1.6353912942606075
小吃,-3.2009210360941514,-3.7862917999225885
看看,-10.389333772591105,-7.7752758464868625
夜景,-5.365453251744828,-5.829365697431549
当地,-10.389333772591105,-7.7752758464868625
公交车,-4.097764633032785,-4.5564000216186615
散,-6.1698260674149985,-5.136218516871604
团,-3.474602879872543,-2.9389939395353846
坐,-3.1176300657037372,-2.819448788885602
出去,-10.389333772591105,-7.7752758464868625
非常,-10.389333772591105,-7.7752758464868625
方便,-10.389333772591105,-7.7752758464868625
总的来说,-10.389333772591105,-7.7752758464868625
玩,-1.241720230523227,-1.4690005595388473
开心,-1.6785494321226822,-2.7513953256405865
希望,-3.0990408901445083,-2.3953784929464033
对,-10.389333772591105,-7.7752758464868625
帮助,-10.389333772591105,-7.7752758464868625
王艺芳,-7.904427122803105,-7.7752758464868625
好,-10.389333772591105,-7.7752758464868625
慢,-5.037475639115039,-4.73075340876344
总是,-10.389333772591105,-7.7752758464868625
他,-10.389333772591105,-7.7752758464868625
操心,-5.37205393577618,-5.695834304807027
但,-10.389333772591105,-7.7752758464868625
负责,-3.2680813193465634,-3.5856211044604374
耐心,-2.8750791197746945,-3.9910862125686015
介绍,-3.172624285881647,-3.2426763533336067
带领,-4.828652141575577,-6.388981485366972
经历,-5.697985890361961,-5.695834304807027
风景,-2.6999626650614146,-2.9712548017536062
…,-2.124455509789357,-1.6885011195745558
海边,-2.604860536854636,-2.9310887600282713
山间,-9.290721483922995,-7.082128665926917
巷弄,-9.69618659203116,-7.7752758464868625
琴声,-9.003039411471214,-7.7752758464868625
风声,-8.779895860157005,-7.7752758464868625
人声,-9.69618659203116,-7.7752758464868625
破败,-9.003039411471214,-7.7752758464868625
院落,-9.003039411471214,-7.7752758464868625
华繁,-9.69618659203116,-7.7752758464868625
门窗,-8.59757430336305,-7.082128665926917
花,-4.405397491903915,-3.5125959694455475
草,-8.443423623535791,-7.7752758464868625
树木,-6.56069237610201,-7.082128665926917
阳光,-4.672306071184884,-5.067225645384653
下,-10.389333772591105,-7.7752758464868625
一切,-10.389333772591105,-7.7752758464868625
蒙上,-9.69618659203116,-7.7752758464868625
一层,-6.628133656897543,-6.676663557818753
温暖,-5.17439801498212,-6.165837934052762
亮光,-9.69618659203116,-7.7752758464868625
整个,-10.389333772591105,-7.7752758464868625
行程,-1.0095882357541943,-0.7758533789789019
中,-2.880546601956828,-2.6632880581303198
~,-3.6607051595064033,-4.111714200357216
曲曲,-9.69618659203116,-7.7752758464868625
绕绕,-9.69618659203116,-7.7752758464868625
兜兜,-7.681283571488895,-7.082128665926917
转转,-5.8249855811232685,-5.829365697431549
随性,-7.681283571488895,-7.7752758464868625
而,-10.389333772591105,-7.7752758464868625
来,-10.389333772591105,-7.7752758464868625
或许,-6.862973247974944,-6.165837934052762
不经意,-8.779895860157005,-7.7752758464868625
处,-5.8895241022608396,-5.472690753492817
正是,-10.389333772591105,-7.7752758464868625
你,-10.389333772591105,-7.7752758464868625
与,-10.389333772591105,-7.7752758464868625
之,-10.389333772591105,-7.7752758464868625
邂逅,-7.681283571488895,-7.7752758464868625
老屋,-9.69618659203116,-7.7752758464868625
或,-10.389333772591105,-7.7752758464868625
听听,-6.1698260674149985,-6.388981485366972
人家,-10.389333772591105,-7.7752758464868625
说,-1.9038376679181221,-0.4973372735412011
油盐酱醋,-8.443423623535791,-7.7752758464868625
家长里短,-9.69618659203116,-7.7752758464868625
渐渐,-7.991438499792734,-7.7752758464868625
变得,-6.518132761683214,-6.676663557818753
沉寂,-9.290721483922995,-7.7752758464868625
进入,-10.389333772591105,-7.7752758464868625
回忆,-5.365453251744828,-5.983516377258808
她,-10.389333772591105,-7.7752758464868625
令,-6.4380900540096775,-6.676663557818753
人们,-10.389333772591105,-7.7752758464868625
如此,-10.389333772591105,-7.7752758464868625
迷醉,-9.290721483922995,-7.7752758464868625
仿佛,-6.605144138672844,-7.7752758464868625
它,-10.389333772591105,-7.7752758464868625
映照,-9.003039411471214,-7.7752758464868625
着,-10.389333772591105,-7.7752758464868625
某种,-9.69618659203116,-7.7752758464868625
神秘,-7.211279942243159,-7.7752758464868625
气息,-5.326738739564138,-5.983516377258808
<,-10.389333772591105,-7.7752758464868625
br,-2.340865028922223,-1.8456867030969681
>,-10.389333772591105,-7.7752758464868625
太,-2.921962705673545,-2.0985220442185812
日子,-6.651664154307737,-6.165837934052762
里,-3.121808344762933,-2.6453771315637895
已经,-10.389333772591105,-7.7752758464868625
忘记,-5.569052206986068,-4.942062502430646
生命,-7.393601499037114,-6.388981485366972
本身,-10.389333772591105,-7.7752758464868625
美丽,-3.3700371188760605,-4.639781630557713
和,-10.389333772591105,-7.7752758464868625
神奇,-6.346282504756554,-6.388981485366972
忘,-5.561020035288804,-5.578051269150643
活在,-9.290721483922995,-7.7752758464868625
这个,-10.389333772591105,-7.7752758464868625
世界,-4.525702596993008,-5.377380573688492
原来,-10.389333772591105,-7.7752758464868625
悠游自在,-9.69618659203116,-7.7752758464868625
想,-2.827692027002325,-2.278107621193661
天上,-8.192109195254885,-7.082128665926917
飞鸟,-9.69618659203116,-7.7752758464868625
地上,-7.681283571488895,-6.165837934052762
野草,-9.003039411471214,-7.7752758464868625
时候,-10.389333772591105,-7.7752758464868625
静静,-7.1704579477229045,-7.7752758464868625
停下来,-7.616745050351324,-6.388981485366972
欣赏,-4.90453683910045,-5.472690753492817
赞美,-8.192109195254885,-7.7752758464868625
：,-10.389333772591105,-7.7752758464868625
蓝色,-6.457508139866779,-7.7752758464868625
天空,-5.378698478494849,-6.165837934052762
白色,-6.628133656897543,-6.388981485366972
流云,-9.290721483922995,-7.7752758464868625
那些,-10.389333772591105,-7.7752758464868625
各种,-10.389333772591105,-7.7752758464868625
颜色,-7.131237234569623,-6.676663557818753
姿势,-8.192109195254885,-7.7752758464868625
奇异,-9.290721483922995,-7.7752758464868625
香味,-7.824384415129568,-7.082128665926917
风中,-9.290721483922995,-7.7752758464868625
飘荡,-9.290721483922995,-7.7752758464868625
温柔,-5.934986476337597,-7.082128665926917
